node_id,betweenness,pagerank,network_community_id,semantic_cluster_id,top_keywords,neighbor_consistency
Wotan (Cyber-Mastiff),1.3574636064007123e-06,0.0003080652397054858,38,1,"necromunda, helmawr, kal, gerontius, haera",0.5440499186515808
Merelda,9.661946845558012e-07,0.0002808698790723427,38,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.721038281917572
Setekh (Giant Necron),1.8365684086597874e-07,0.00028524098058718217,38,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.4642113447189331
Yolanda Catallus,1.8365684086597874e-07,0.00035688074680291336,38,1,"necromunda, helmawr, kal, gerontius, haera",0.5056196451187134
Wrathe,3.7542216918194913e-06,5.9908732711021816e-05,17,5,"honfler, custodes, denial, magron, loyalists",0.5886282920837402
Ehrlen,6.059310058263936e-06,8.538415742454253e-05,17,6,"fulgrim, perturabo, dorn, m30, curze",0.593660831451416
Wretched Prince,0.0,5.7403167991312944e-05,20,9,"khan, huron, sabbat, telomane, sek",0.5882018804550171
Wulfric,0.0,8.010979748957259e-05,21,12,"russ, ragnar, fenris, bjorn, grimnar",0.7932987213134766
Skaldir Ironfang,0.00013271203022576376,0.0001789438451992459,21,12,"russ, ragnar, fenris, bjorn, grimnar",0.7361462116241455
Ghordane,0.00013271203022576376,0.0001789438451992459,21,12,"russ, ragnar, fenris, bjorn, grimnar",0.7090073823928833
